 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
246,Image_14482-1.jpg (red),35.984,29.608,0.516,11.134,696,406,116.565,7.045,1.725,0.580,0.728
247,Image_14482-1.jpg (red),25.826,22.809,0.624,9.480,891,406,113.199,4.149,2.164,0.462,0.862
248,Image_14482-1.jpg (red),28.753,21.896,0.754,7.651,982,407,139.399,6.162,1.307,0.765,0.859
249,Image_14482-1.jpg (red),14.979,15.198,0.815,5.644,792,418,53.973,4.315,1.316,0.760,0.879
250,Image_14482-1.jpg (red),60.261,31.813,0.748,11.394,997,423,33.111,8.165,1.286,0.777,0.885
251,Image_14482-1.jpg (red),16.873,18.275,0.635,6.561,542,419,18.435,4.601,1.627,0.615,0.781
252,Image_14482-1.jpg (red),145.831,56.844,0.567,15.904,759,446,74.876,13.284,1.111,0.900,0.904
253,Image_14482-1.jpg (red),12.569,14.611,0.740,5.249,1102,421,71.565,3.320,1.521,0.657,0.880
254,Image_14482-1.jpg (red),21.177,21.695,0.565,9.471,532,410,118.811,3.581,3.151,0.317,0.831
255,Image_14482-1.jpg (red),44.765,26.045,0.829,9.462,829,432,74.745,7.054,1.297,0.771,0.900
256,Image_14482-1.jpg (red),28.581,23.111,0.672,8.350,939,428,63.435,5.662,1.560,0.641,0.818
257,Image_14482-1.jpg (red),32.196,22.382,0.808,7.629,1139,410,112.380,6.739,1.095,0.913,0.868
258,Image_14482-1.jpg (red),37.017,26.532,0.661,10.104,658,411,109.179,5.816,2.025,0.494,0.855
259,Image_14482-1.jpg (red),14.807,16.229,0.706,6.805,946,422,37.569,3.227,2.482,0.403,0.843
260,Image_14482-1.jpg (red),34.090,22.827,0.822,8.014,444,423,21.251,6.571,1.157,0.865,0.868
261,Image_14482-1.jpg (red),12.396,14.268,0.765,6.168,1088,424,47.726,3.400,1.840,0.544,0.883
262,Image_14482-1.jpg (red),24.965,23.799,0.554,8.173,502,432,66.038,5.575,1.533,0.652,0.765
263,Image_14482-1.jpg (red),13.257,16.413,0.618,5.897,517,423,39.289,3.734,1.384,0.723,0.786
264,Image_14482-1.jpg (red),11.536,12.708,0.898,4.731,728,415,105.255,3.651,1.311,0.763,0.876
265,Image_14482-1.jpg (red),54.235,33.573,0.605,12.097,493,445,84.094,8.070,1.568,0.638,0.782
266,Image_14482-1.jpg (red),39.083,35.191,0.397,9.976,633,419,163.072,7.365,1.301,0.769,0.753
267,Image_14482-1.jpg (red),10.330,14.268,0.638,5.984,852,424,33.690,2.887,2.216,0.451,0.839
268,Image_14482-1.jpg (red),16.873,15.340,0.901,5.410,866,417,147.529,4.149,1.124,0.890,0.947
269,Image_14482-1.jpg (red),17.390,15.340,0.929,5.764,1035,416,120.256,4.149,1.234,0.811,0.944
270,Image_14482-1.jpg (red),55.095,30.740,0.733,11.507,1055,441,64.359,7.614,1.672,0.598,0.860
271,Image_14482-1.jpg (red),13.257,17.302,0.556,6.279,1107,416,97.595,3.665,1.869,0.535,0.726
272,Image_14482-1.jpg (red),21.005,21.209,0.587,8.152,785,423,14.744,4.564,1.855,0.539,0.785
273,Image_14482-1.jpg (red),18.939,18.031,0.732,7.651,413,419,130.601,4.108,1.968,0.508,0.863
274,Image_14482-1.jpg (red),53.546,33.473,0.601,12.204,455,443,54.689,7.741,1.741,0.574,0.798
275,Image_14482-1.jpg (red),45.282,33.028,0.522,12.483,929,419,111.448,6.192,2.355,0.425,0.793
276,Image_14482-1.jpg (red),20.489,17.646,0.827,6.347,879,421,101.310,4.949,1.163,0.860,0.844
277,Image_14482-1.jpg (red),13.430,18.761,0.479,7.042,908,421,135.000,4.694,1.753,0.571,0.696
278,Image_14482-1.jpg (red),15.323,14.712,0.890,5.764,713,433,30.256,4.038,1.401,0.714,0.873
279,Image_14482-1.jpg (red),39.083,26.733,0.687,9.687,727,427,133.264,6.322,1.515,0.660,0.857
280,Image_14482-1.jpg (red),14.463,15.684,0.739,6.482,428,436,39.806,3.961,1.758,0.569,0.857
281,Image_14482-1.jpg (red),115.184,53.994,0.496,15.492,828,445,20.376,12.064,1.232,0.812,0.801
