 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
712,Image_14119-3.tif,37.327,29.585,0.536,11.527,366,554,111.038,5.464,2.377,0.421,0.793
713,Image_14119-3.tif,12.157,14.086,0.77,5.552,601,556,153.435,3.603,1.429,0.7,0.816
714,Image_14119-3.tif,33.389,30.555,0.449,11.943,303,565,14.036,5.297,2.867,0.349,0.737
715,Image_14119-3.tif,21.917,18.608,0.795,7.034,693,565,28.072,4.138,1.683,0.594,0.911
716,Image_14119-3.tif,17.294,17.196,0.735,7.227,100,557,156.371,3.31,2.346,0.426,0.918
717,Image_14119-3.tif,10.787,12.957,0.807,5,394,569,65.556,2.897,1.759,0.569,0.913
718,Image_14119-3.tif,31.334,29.042,0.467,11.018,200,576,34.287,5.444,1.993,0.502,0.748
719,Image_14119-3.tif,10.787,12.088,0.928,4.476,289,569,56.31,3.713,1.229,0.813,0.863
720,Image_14119-3.tif,22.259,18.91,0.782,7.227,540,566,13.241,4.552,1.558,0.642,0.872
721,Image_14119-3.tif,41.265,30.555,0.555,10.378,631,560,156.501,6.585,2.005,0.499,0.81
722,Image_14119-3.tif,24.485,22.078,0.631,8.49,260,565,136.975,5.111,1.907,0.524,0.784
723,Image_14119-3.tif,15.581,16.569,0.713,6.303,523,571,23.199,3.724,1.7,0.588,0.85
724,Image_14119-3.tif,19.348,18.466,0.713,6.543,27,563,145.305,4.552,1.157,0.865,0.863
725,Image_14119-3.tif,16.609,15.883,0.827,6.207,480,573,36.87,4.138,1.45,0.69,0.886
726,Image_14119-3.tif,14.725,14.813,0.843,5.395,511,564,147.529,4.138,1.252,0.799,0.891
727,Image_14119-3.tif,29.622,25.79,0.56,9.299,573,583,57.724,4.682,2.122,0.471,0.807
728,Image_14119-3.tif,14.212,16.427,0.662,6.316,669,563,121.608,3.511,2.031,0.492,0.761
729,Image_14119-3.tif,15.924,17.296,0.669,6.11,41,564,151.699,4.138,1.247,0.802,0.83
730,Image_14119-3.tif,125.85,47.491,0.701,16.757,121,599,57.095,10.483,1.61,0.621,0.904
