 ,Label,Area,Mean,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
537,Image_14456-1.jpg (red)-1,50.657,255,28.897,0.762,10.985,525,489,60.524,6.674,1.665,0.6,0.881
538,Image_14456-1.jpg (red)-1,29.91,255,21.841,0.788,7.496,712,473,160.56,5.531,1.424,0.702,0.874
539,Image_14456-1.jpg (red)-1,81.777,255,35.692,0.807,12.123,273,489,30.964,9.056,1.287,0.777,0.92
540,Image_14456-1.jpg (red)-1,115.49,255,44.471,0.734,14.841,491,488,168.69,11.965,1.21,0.827,0.882
541,Image_14456-1.jpg (red)-1,144.708,255,48.344,0.778,18.186,555,491,10.539,11.623,1.59,0.629,0.92
542,Image_14456-1.jpg (red)-1,38.381,255,25.268,0.755,8.742,450,491,64.654,7.252,1.09,0.918,0.872
543,Image_14456-1.jpg (red)-1,16.252,255,16.162,0.782,5.791,58,473,111.038,4.574,1.224,0.817,0.858
544,Image_14456-1.jpg (red)-1,44.433,255,25.226,0.877,8.481,337,484,11.31,7.35,1.074,0.931,0.9
545,Image_14456-1.jpg (red)-1,15.387,255,15.129,0.845,5.91,421,474,140.711,4.208,1.377,0.726,0.89
546,Image_14456-1.jpg (red)-1,13.312,255,13.466,0.923,5.21,69,477,151.39,3.742,1.387,0.721,0.917
547,Image_14456-1.jpg (red)-1,15.906,255,15.23,0.862,5.776,118,478,149.744,4.574,1.228,0.814,0.876
548,Image_14456-1.jpg (red)-1,88.865,255,38.935,0.737,14.307,162,504,54.462,8.732,1.696,0.59,0.9
549,Image_14456-1.jpg (red)-1,31.293,255,22.53,0.775,8.368,32,479,153.435,5.364,1.585,0.631,0.9
550,Image_14456-1.jpg (red)-1,117.046,255,43.438,0.78,14.523,374,509,66.371,11.636,1.232,0.812,0.92
551,Image_14456-1.jpg (red)-1,22.476,255,18.514,0.824,6.705,677,478,150.255,4.998,1.381,0.724,0.906
552,Image_14456-1.jpg (red)-1,88.001,255,41.573,0.64,14.143,2,488,155.695,9.996,1.444,0.693,0.822
553,Image_14456-1.jpg (red)-1,31.812,255,22.126,0.817,7.734,96,480,143.746,5.818,1.145,0.874,0.909
554,Image_14456-1.jpg (red)-1,11.756,255,13.667,0.791,5.325,239,488,38.66,3.234,1.621,0.617,0.866
555,Image_14456-1.jpg (red)-1,274.894,255,66.11,0.79,23.11,738,496,171.724,16.969,1.217,0.822,0.928
556,Image_14456-1.jpg (red)-1,43.222,255,27.905,0.697,10.625,420,483,149.421,5.79,1.87,0.535,0.88
557,Image_14456-1.jpg (red)-1,30.601,255,21.74,0.814,7.403,224,497,38.157,6.237,1.13,0.885,0.881
558,Image_14456-1.jpg (red)-1,34.578,255,22.773,0.838,8.03,623,502,68.749,6.736,1.122,0.891,0.883
559,Image_14456-1.jpg (red)-1,67.427,255,33.038,0.776,12.229,192,486,144.689,7.9,1.266,0.79,0.929
560,Image_14456-1.jpg (red)-1,40.11,255,25.024,0.805,8.84,79,486,138.814,6.883,1.183,0.845,0.897
561,Image_14456-1.jpg (red)-1,30.083,255,21.597,0.81,8.316,136,487,143.13,5.189,1.687,0.593,0.895
562,Image_14456-1.jpg (red)-1,99.411,255,38.347,0.85,13.129,591,497,169.046,10.16,1.192,0.839,0.931
563,Image_14456-1.jpg (red)-1,96.818,255,39.322,0.787,14.748,720,486,111.501,10.027,1.417,0.706,0.906
564,Image_14456-1.jpg (red)-1,26.798,255,21.152,0.753,7.998,124,487,98.973,4.538,1.845,0.542,0.893
565,Image_14456-1.jpg (red)-1,69.156,255,32.912,0.802,11.5,536,487,102.529,9.072,1.307,0.765,0.904
566,Image_14456-1.jpg (red)-1,77.627,255,38.062,0.673,14.553,655,495,143.13,7.056,2.272,0.44,0.886
567,Image_14456-1.jpg (red)-1,91.977,255,39.506,0.741,13.639,395,514,37.569,10.86,1.253,0.798,0.885
568,Image_14456-1.jpg (red)-1,23.513,255,18.556,0.858,7.274,56,492,149.036,4.574,1.622,0.617,0.919
569,Image_14456-1.jpg (red)-1,151.97,255,51.023,0.734,17.508,644,533,85.914,12.623,1.372,0.729,0.915
570,Image_14456-1.jpg (red)-1,118.429,255,43.177,0.798,15.586,275,492,133.919,10.488,1.457,0.686,0.925
571,Image_14456-1.jpg (red)-1,21.265,255,17.683,0.855,6.666,702,493,93.576,4.871,1.29,0.775,0.885
572,Image_14456-1.jpg (red)-1,83.678,255,36.197,0.803,12.236,33,512,9.782,10.151,1.06,0.943,0.898
573,Image_14456-1.jpg (red)-1,77.282,255,35.692,0.762,12.144,317,517,38.047,9.851,1.154,0.866,0.876
574,Image_14456-1.jpg (red)-1,63.623,255,31.534,0.804,11.357,506,508,23.749,8.251,1.421,0.704,0.912
575,Image_14456-1.jpg (red)-1,10.028,255,11.802,0.905,4.478,183,497,158.199,3.326,1.261,0.793,0.906
576,Image_14456-1.jpg (red)-1,80.221,255,38.692,0.673,15.289,215,519,22.38,6.88,2.272,0.44,0.902
577,Image_14456-1.jpg (red)-1,11.584,255,12.735,0.898,4.849,106,507,30.964,3.806,1.319,0.758,0.87
578,Image_14456-1.jpg (red)-1,17.289,255,18.413,0.641,7.845,249,514,32.005,3.533,2.388,0.419,0.855
579,Image_14456-1.jpg (red)-1,34.405,255,24.134,0.742,8.771,567,518,31.43,6.237,1.571,0.637,0.886
580,Image_14456-1.jpg (red)-1,12.275,255,12.878,0.93,4.849,172,508,149.036,3.742,1.143,0.875,0.91
581,Image_14456-1.jpg (red)-1,42.704,255,28.493,0.661,11.357,342,508,156.251,5.128,2.493,0.401,0.885
582,Image_14456-1.jpg (red)-1,30.601,255,21.152,0.86,7.274,121,508,120.964,6.237,1.033,0.969,0.908
583,Image_14456-1.jpg (red)-1,52.558,255,28.393,0.819,10.151,447,509,145.008,7.484,1.14,0.877,0.927
584,Image_14456-1.jpg (red)-1,39.073,255,26.159,0.718,10.625,479,509,120.579,5.292,2.219,0.451,0.861
585,Image_14456-1.jpg (red)-1,122.06,255,50.898,0.592,16.931,685,547,65.323,10.03,1.778,0.563,0.874
586,Image_14456-1.jpg (red)-1,54.979,255,28.065,0.877,9.599,61,526,17.65,8.15,1.096,0.912,0.91
587,Image_14456-1.jpg (red)-1,114.971,255,42.564,0.797,15.112,517,523,172.093,11.173,1.307,0.765,0.915
588,Image_14456-1.jpg (red)-1,49.965,255,28.166,0.791,10.843,260,530,32.471,6.122,1.864,0.536,0.906
589,Image_14456-1.jpg (red)-1,18.499,255,16.649,0.839,5.791,598,514,111.038,4.574,1.188,0.842,0.907
590,Image_14456-1.jpg (red)-1,42.185,255,25.999,0.784,8.898,178,516,127.405,6.836,1.345,0.743,0.881
591,Image_14456-1.jpg (red)-1,150.414,255,57.164,0.578,21.626,592,551,37.972,10.879,2.366,0.423,0.834
592,Image_14456-1.jpg (red)-1,72.095,255,34.172,0.776,12.95,193,540,47.603,8.064,1.523,0.657,0.917
593,Image_14456-1.jpg (red)-1,30.256,255,20.908,0.87,7.667,156,518,130.601,5.579,1.325,0.755,0.914
594,Image_14456-1.jpg (red)-1,52.213,255,33.685,0.578,11.173,226,537,45,8.673,1.222,0.818,0.798
595,Image_14456-1.jpg (red)-1,29.045,255,20.724,0.85,7.588,578,518,99.462,5.586,1.251,0.799,0.882
596,Image_14456-1.jpg (red)-1,62.413,255,30.317,0.853,10.519,423,525,161.565,8.746,1.182,0.846,0.91
597,Image_14456-1.jpg (red)-1,32.503,255,24.923,0.658,9.671,26,522,115.463,5.373,1.958,0.511,0.83
598,Image_14456-1.jpg (red)-1,40.456,255,25.571,0.778,9.298,133,531,10.305,7.056,1.291,0.775,0.867
599,Image_14456-1.jpg (red)-1,49.965,255,27.864,0.809,10.69,328,527,166.504,6.682,1.603,0.624,0.91
600,Image_14456-1.jpg (red)-1,18.845,255,16.75,0.844,5.953,44,536,65.225,4.704,1.235,0.81,0.872
601,Image_14456-1.jpg (red)-1,22.13,255,18.212,0.838,6.769,404,525,137.49,5.405,1.15,0.87,0.911
602,Image_14456-1.jpg (red)-1,118.948,255,43.908,0.775,16.002,369,528,155.433,9.979,1.63,0.613,0.937
603,Image_14456-1.jpg (red)-1,88.519,255,35.978,0.859,12.363,739,526,132.274,9.979,1.065,0.939,0.947
604,Image_14456-1.jpg (red)-1,11.238,255,14.154,0.705,5.058,118,534,9.462,3.94,1.389,0.72,0.802
605,Image_14456-1.jpg (red)-1,14.696,255,14.784,0.845,6.054,286,527,164.055,2.911,1.893,0.528,0.95
606,Image_14456-1.jpg (red)-1,92.15,255,37.818,0.81,13.62,501,536,167.661,9.702,1.219,0.821,0.929
607,Image_14456-1.jpg (red)-1,141.769,255,49.889,0.716,18.224,312,527,117.15,11.642,1.71,0.585,0.909
608,Image_14456-1.jpg (red)-1,82.987,255,36.869,0.767,12.404,651,532,140.44,9.738,1.196,0.836,0.898
609,Image_14456-1.jpg (red)-1,29.045,255,20.908,0.835,7.403,354,532,141.843,5.592,1.34,0.746,0.896
610,Image_14456-1.jpg (red)-1,94.052,255,41.187,0.697,14.624,81,544,165.174,10.955,1.331,0.752,0.882
611,Image_14456-1.jpg (red)-1,55.152,255,28.048,0.881,9.813,547,549,36.384,7.9,1.068,0.936,0.942
612,Image_14456-1.jpg (red)-1,63.623,255,32.265,0.768,11.188,704,532,138.013,8.182,1.221,0.819,0.923
613,Image_14456-1.jpg (red)-1,20.92,255,19.388,0.699,6.82,169,533,127.569,4.454,1.28,0.781,0.858
614,Image_14456-1.jpg (red)-1,18.672,255,18.17,0.711,6.495,59,546,50.194,4.69,1.317,0.759,0.831
615,Image_14456-1.jpg (red)-1,30.601,255,23.017,0.726,8.771,291,534,121.43,5.021,2.009,0.498,0.866
616,Image_14456-1.jpg (red)-1,29.045,255,21.942,0.758,7.889,438,542,161.565,6.136,1.309,0.764,0.851
617,Image_14456-1.jpg (red)-1,79.529,255,39.85,0.629,13.639,476,562,52.431,10.69,1.308,0.765,0.802
618,Image_14456-1.jpg (red)-1,101.14,255,40.581,0.772,14.338,627,534,106.858,9.563,1.361,0.735,0.928
619,Image_14456-1.jpg (red)-1,56.535,255,30.762,0.751,12.342,416,539,122.619,6.146,2.127,0.47,0.892
620,Image_14456-1.jpg (red)-1,47.199,255,27.377,0.791,9.883,132,546,157.751,7.515,1.173,0.852,0.888
621,Image_14456-1.jpg (red)-1,16.77,255,16.691,0.756,6.181,209,541,132.274,4.128,1.324,0.755,0.882
622,Image_14456-1.jpg (red)-1,34.751,255,25.167,0.689,9.742,261,544,129.806,5.907,1.721,0.581,0.848
623,Image_14456-1.jpg (red)-1,21.092,255,17.338,0.882,6.361,432,550,168.69,4.99,1.239,0.807,0.894
624,Image_14456-1.jpg (red)-1,83.16,255,40.212,0.646,14.338,571,554,150.461,9.408,1.762,0.567,0.86
625,Image_14456-1.jpg (red)-1,24.032,255,19.245,0.815,7.633,725,546,150.642,4.935,1.515,0.66,0.888
626,Image_14456-1.jpg (red)-1,37.69,255,23.546,0.854,8.572,340,563,50.906,6.174,1.29,0.775,0.916
627,Image_14456-1.jpg (red)-1,19.364,255,16.75,0.867,6.181,488,550,160.346,4.898,1.234,0.811,0.875
628,Image_14456-1.jpg (red)-1,77.627,255,34.13,0.837,11.196,59,547,111.801,9.782,1.081,0.925,0.911
629,Image_14456-1.jpg (red)-1,25.242,255,18.758,0.901,7.069,456,550,151.928,5.195,1.409,0.71,0.893
630,Image_14456-1.jpg (red)-1,45.816,255,27.477,0.763,10.048,526,555,155.556,6.914,1.465,0.683,0.855
631,Image_14456-1.jpg (red)-1,35.442,255,22.672,0.866,8.169,41,550,104.744,6.237,1.302,0.768,0.901
632,Image_14456-1.jpg (red)-1,39.592,255,27.721,0.647,10.269,678,574,68.629,6.561,1.458,0.686,0.809
633,Image_14456-1.jpg (red)-1,78.146,255,34.736,0.814,12.404,179,552,103.57,8.82,1.28,0.782,0.9
634,Image_14456-1.jpg (red)-1,19.018,255,17.724,0.761,6.495,198,562,39.806,4.455,1.353,0.739,0.894
635,Image_14456-1.jpg (red)-1,61.203,255,33.786,0.674,12.474,232,557,126.87,6.141,2.107,0.475,0.907
636,Image_14456-1.jpg (red)-1,15.387,255,14.499,0.92,5.405,217,555,112.62,4.382,1.273,0.786,0.886
637,Image_14456-1.jpg (red)-1,44.26,255,29.04,0.66,9.918,297,556,123.024,6.718,1.678,0.596,0.835
638,Image_14456-1.jpg (red)-1,53.596,255,29.141,0.793,10.843,734,558,147.529,7.056,1.439,0.695,0.891
639,Image_14456-1.jpg (red)-1,31.639,255,21.841,0.833,8.169,151,558,165.256,5.405,1.536,0.651,0.893
640,Image_14456-1.jpg (red)-1,18.326,255,16.103,0.888,5.91,389,567,50.711,4.158,1.169,0.856,0.946
641,Image_14456-1.jpg (red)-1,27.144,255,21.983,0.706,7.734,700,559,126.254,5.128,1.616,0.619,0.851
642,Image_14456-1.jpg (red)-1,20.92,255,17.926,0.818,6.361,761,557,101.31,4.835,1.204,0.83,0.861
643,Image_14456-1.jpg (red)-1,35.615,255,24.537,0.743,9.344,132,559,122.276,5.175,2.035,0.491,0.884
644,Image_14456-1.jpg (red)-1,22.476,255,19.043,0.779,6.97,77,563,162.646,4.177,1.684,0.594,0.884
645,Image_14456-1.jpg (red)-1,84.716,255,36.827,0.785,14.416,99,561,146.768,8.526,1.593,0.628,0.921
646,Image_14456-1.jpg (red)-1,54.633,255,29.141,0.808,10.42,253,566,151.39,7.075,1.404,0.712,0.912
647,Image_14456-1.jpg (red)-1,27.662,255,21.698,0.738,8.03,468,563,111.251,4.835,1.878,0.533,0.847
648,Image_14456-1.jpg (red)-1,33.713,255,21.799,0.892,7.588,414,564,99.462,6.468,1.072,0.933,0.901
649,Image_14456-1.jpg (red)-1,10.028,255,11.802,0.905,4.158,452,572,36.87,3.742,1.057,0.946,0.872
650,Image_14456-1.jpg (red)-1,23.34,255,18.514,0.856,6.574,547,567,145.305,4.823,1.318,0.759,0.888
651,Image_14456-1.jpg (red)-1,28.873,255,22.63,0.708,8.572,568,564,129.094,5.292,1.844,0.542,0.841
652,Image_14456-1.jpg (red)-1,50.484,255,28.065,0.805,10.286,722,588,75.964,6.902,1.478,0.677,0.893
653,Image_14456-1.jpg (red)-1,48.755,255,29.141,0.721,10.601,429,565,115.56,6.675,1.54,0.649,0.848
654,Image_14456-1.jpg (red)-1,45.816,255,26.83,0.8,9.734,515,565,109.983,6.653,1.512,0.661,0.92
655,Image_14456-1.jpg (red)-1,185.856,255,58.264,0.688,21.785,319,568,113.629,11.028,2.085,0.48,0.924
656,Image_14456-1.jpg (red)-1,10.2,255,12.147,0.869,4.478,693,567,111.801,3.659,1.188,0.841,0.855
657,Image_14456-1.jpg (red)-1,90.248,255,36.155,0.868,12.721,153,586,11.31,9.114,1.263,0.792,0.935
658,Image_14456-1.jpg (red)-1,16.77,255,16.507,0.773,6.333,211,577,23.199,4.302,1.575,0.635,0.829
659,Image_14456-1.jpg (red)-1,48.582,255,31.089,0.632,10.014,356,569,131.634,8.591,1.201,0.833,0.797
660,Image_14456-1.jpg (red)-1,49.273,255,28.88,0.742,10.787,488,571,152.447,6.237,1.559,0.641,0.911
661,Image_14456-1.jpg (red)-1,15.733,255,14.784,0.905,5.421,348,581,57.529,4.158,1.122,0.892,0.929
662,Image_14456-1.jpg (red)-1,34.578,255,22.429,0.864,7.768,287,589,74.476,6.64,1.077,0.928,0.911
663,Image_14456-1.jpg (red)-1,33.713,255,22.37,0.847,8.073,371,573,145.491,6.237,1.047,0.955,0.92
